mad-dom benchmark gate (T50)
host: linux/x64 · bun 1.4.2 · rust 1.93.1
node payload: 216 B · bench document: 20084 nodes

metric                                   status   value / bound
------------------------------------------------------------------------------
arena_alloc_ops_s                       pass    current 1.17e+8 vs floor 6.61e+7 (0.5x of 1.32e+8)
arena_remove_ops_s                      pass    current 6.58e+7 vs floor 3.86e+7 (0.5x of 7.73e+7)
arena_reuse_ops_s                       pass    current 9.90e+7 vs floor 6.18e+7 (0.5x of 1.24e+8)
arena_capacity_retention_ratio          pass    current 1 vs ceiling 1.10 (1.1x of 1)
mutation_append_ops_s                   pass    current 4.22e+6 vs floor 2.61e+6 (0.5x of 5.22e+6)
mutation_remove_ops_s                   pass    current 4.57e+6 vs floor 2.53e+6 (0.5x of 5.07e+6)
mutation_attr_ops_s                     pass    current 6.04e+6 vs floor 3.16e+6 (0.5x of 6.32e+6)
parser_ops_s                            pass    current 48183.91 vs floor 24517.44 (0.5x of 49034.89)
parser_bytes_s                          pass    current 1.45e+7 vs floor 7.36e+6 (0.5x of 1.47e+7)
serializer_ops_s                        pass    current 43496.59 vs floor 22066.57 (0.5x of 44133.13)
serializer_bytes_s                      pass    current 1.30e+7 vs floor 6.62e+6 (0.5x of 1.32e+7)
selector_cold_ops_s                     pass    current 314.92 vs floor 170.75 (0.5x of 341.50)
selector_hot_ops_s                      pass    current 2.41e+7 vs floor 1.05e+7 (0.5x of 2.09e+7)
selector_matches_ops_s                  pass    current 1.90e+7 vs floor 9.23e+6 (0.5x of 1.85e+7)
ffi_create_element_ops_s                pass    current 239369.17 vs floor 154092.99 (0.5x of 308185.99)
ffi_batch_append_ops_s                  pass    current 397.68 vs floor 260.79 (0.5x of 521.57)
wrapper_identity_hit_rate               pass    current 1 vs floor 1 (1x of 1)
gc_release_hit_rate                     pass    current 1 vs floor 1 (1x of 1)
gc_memory_growth_mb                     info    raw signed RSS delta 0.34 MiB; historical -18.57 MiB (different sampling contract; see memory stability gate)
memory_lifecycle_counters               pass    documents, FFI registrations and wrapper caches must be zero in every warmup/measured sample and the independent facade/FFI digest
memory_rss_bound                        pass    post-GC peak 148.578 MiB <= 2x warm stock 148.336 MiB
memory_rss_trend                        pass    three 8-round blocks: medians MiB [148.373, 148.240, 148.463], lower-quartile slopes B/round [-4096.0, 15701.3, -20480.0]; full-curve projected block growth -69632.0 B vs median block IQR 163840.0 B
memory_heapUsed_bound                   pass    post-GC peak 3.411 MiB <= 2x warm stock 3.388 MiB
memory_heapUsed_trend                   pass    three 8-round blocks: medians MiB [3.393, 3.402, 3.408], lower-quartile slopes B/round [0.0, 0.0, 542.0]

result: PASS — baseline throughput/capacity and current memory stability contract satisfied; raw RSS delta is observational
